STATE_NAME,STATE_FIPS,Price
Alabama,1,22350
Arkansas,5,23373
Arizona,4,20245
California,6,21616
Colorado,8,21376
Connecticut,9,18820
District of Columbia,11,11822
Delaware,10,22005
Florida,12,20982
Georgia,13,21536
Iowa,19,21390
Idaho,16,20578
Illinois,17,21371
Indiana,18,19959
Kansas,20,20675
Kentucky,21,20395
Louisiana,22,23124
Massachusetts,25,21679
Maryland,24,20963
Maine,23,22415
Michigan,26,19230
Minnesota,27,21047
Missouri,29,21284
Mississippi,28,23866
Montana,30,24787
North Carolina,37,21394
North Dakota,38,20062
Nebraska,31,22236
New Hampshire,33,21152
New Jersey,34,21720
New Mexico,35,23080
Nevada,32,21042
New York,36,22436
Ohio,39,18790
Oklahoma,40,21803
Oregon,41,22129
Pennsylvania,42,21393
Rhode Island,44,22593
South Carolina,45,20942
South Dakota,46,24313
Tennessee,47,21235
Texas,48,23755
Utah,49,21557
Virginia,51,18931
Vermont,50,18621
Washington,53,22151
Wisconsin,55,20733
West Virginia,54,23122
Wyoming,56,25533
